"fitted","normalized_residual","dataset_id","condition","model"
0.0179542977904908,0.501118198941047,"D016","C4","random_forest"
0.0129053133597739,-0.485761730480625,"D016","C4","random_forest"
0.101018719801488,-0.580546099043268,"D016","C5","random_forest"
0.103402323082342,-1.40157409130739,"D016","C5","random_forest"
0.00412691345031627,0.360972114045611,"D019","C2","gradient_boosted_trees"
-0.000496160039021733,0.287262824642385,"D019","C2","gradient_boosted_trees"
-0.00377628288045462,0.440040505670308,"D019","C2","gradient_boosted_trees"
-0.000409409265223483,0.15823105239446,"D019","C3","gradient_boosted_trees"
-0.0019290659107726,0.5836051974269,"D019","C3","gradient_boosted_trees"
-0.00300727945976698,0.143049509063718,"D019","C3","gradient_boosted_trees"
-0.00196949433527779,0.0799045725364368,"D019","C4","gradient_boosted_trees"
-0.00913988130472113,-0.0049028625286527,"D019","C4","gradient_boosted_trees"
-0.0142273518229005,0.142600587541545,"D019","C4","gradient_boosted_trees"
0.135019296704106,-0.175994985571231,"D019","C5","gradient_boosted_trees"
0.138404404766903,0.337054443422995,"D019","C5","gradient_boosted_trees"
0.140806177159902,-0.124087939275929,"D019","C5","gradient_boosted_trees"
0.00105586477671201,0.198591264969776,"D019","C2","logistic_regression"
-0.00356720871262599,0.390809556328315,"D019","C2","logistic_regression"
-0.00684733155405888,0.0135055571920959,"D019","C2","logistic_regression"
0.00242085904549663,-0.19634647420374,"D019","C3","logistic_regression"
0.000901202399947509,0.0744395854071216,"D019","C3","logistic_regression"
-0.000177011149046868,-0.0227095255565233,"D019","C3","logistic_regression"
0.00367584607202266,-0.0724565711107645,"D019","C4","logistic_regression"
-0.00349454089742068,0.252087569467415,"D019","C4","logistic_regression"
-0.00858201141560008,-0.0657174109705598,"D019","C4","logistic_regression"
0.0848217801485167,-1.37924263766532,"D019","C5","logistic_regression"
0.0882068882113138,-1.24407015762661,"D019","C5","logistic_regression"
0.0906086606043132,-1.95177201662449,"D019","C5","logistic_regression"
-0.00251970111600723,0.362945975525607,"D019","C2","random_forest"
-0.00714277460534523,0.239791622573789,"D019","C2","random_forest"
-0.0104228974467781,0.331710600122183,"D019","C2","random_forest"
-0.00307814093039829,-0.118624661844508,"D019","C3","random_forest"
-0.00459779757594741,0.173938376403584,"D019","C3","random_forest"
-0.00567601112494179,0.12399681506953,"D019","C3","random_forest"
-0.00582340628387743,0.0309230575775329,"D019","C4","random_forest"
-0.0129937932533208,0.309618526838682,"D019","C4","random_forest"
-0.0180812637715002,0.380504297661825,"D019","C4","random_forest"
0.12388992126463,-0.103820329163508,"D019","C5","random_forest"
0.127275029327427,0.158577876771698,"D019","C5","random_forest"
0.129676801720426,-0.0831088767190476,"D019","C5","random_forest"
0.00736327566036175,0.148026367434183,"D020","C2","gradient_boosted_trees"
0.00407322517167253,0.0831440285911875,"D020","C2","gradient_boosted_trees"
-0.00997141540656409,0.551598848040476,"D020","C3","gradient_boosted_trees"
-0.0110528922857137,0.233379177743961,"D020","C3","gradient_boosted_trees"
-0.00175826196476125,0.289323613667868,"D020","C4","gradient_boosted_trees"
