dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C5,0.0020034064478128,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,logistic_regression,C5,0.000669916943408,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C2,0.005188180509136,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C2,0.0014339198574732,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C2,-6.690501178119312e-05,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C3,0.0058453272985952,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C3,0.0027792296016614,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C3,0.0012881593725084,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C4,0.0041770335561404,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C4,-0.0009511364790186,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C4,-0.002138273014907,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C5,0.0144057347136679,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C5,0.0055751109489875,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,random_forest,C5,0.0059175197254319,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D002,Chronic Kidney Disease,gradient_boosted_trees,C2,-0.0001475149489127,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C2,-0.0001771044089358,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C2,0.0003702121177241,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,gradient_boosted_trees,C3,-0.0001469273960095,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
